model,metric,auc,max_k,max_improvement
gpt-3.5-turbo,bleu,0.06084593782509726,4,0.019934320065271544
gpt-3.5-turbo-16k,bleu,0.12506231929718886,4,0.04324391190257901
gpt-4,bleu,0.15600862058622325,10,0.03693512884195839
gpt-4-turbo,bleu,0.33211011244918903,10,0.062422681018425796
gpt-4o,bleu,0.06861295466688139,4,0.015405817370768054
gpt-4o-mini,bleu,0.27852123562440245,8,0.04519258661389677
gpt-3.5-turbo,avg_rougeL,-0.4449676732430972,4,-0.03565191230603926
gpt-3.5-turbo-16k,avg_rougeL,-0.10953208320564317,4,0.02073750730010776
gpt-4,avg_rougeL,0.03521428504048865,10,0.027102990610986782
gpt-4-turbo,avg_rougeL,0.697675937225536,6,0.12494347729273536
gpt-4o,avg_rougeL,-0.5537885304351994,6,-0.057736204001658076
gpt-4o-mini,avg_rougeL,0.2109449505212475,4,0.045724629677284995
gpt-3.5-turbo,avg_bertF1,-1.2218699957494392,4,-0.12569011135958136
gpt-3.5-turbo-16k,avg_bertF1,-0.9226346406061199,4,-0.07942722739651796
gpt-4,avg_bertF1,-0.6172854340809864,10,-0.055008460021927025
gpt-4-turbo,avg_bertF1,0.23275731278001333,10,0.0712825298088137
gpt-4o,avg_bertF1,-0.9756492557376624,4,-0.10539078999310732
gpt-4o-mini,avg_bertF1,-0.25248024455271667,4,-0.010977980950847274
gpt-3.5-turbo,sbert_cosine_sim,-1.080605886870762,4,-0.12077403796836728
gpt-3.5-turbo-16k,sbert_cosine_sim,-0.8778492819145319,4,-0.08411752879619594
gpt-4,sbert_cosine_sim,-0.8075814068131146,10,-0.07891255885362625
gpt-4-turbo,sbert_cosine_sim,-1.3382644840842117,6,-0.10781020594760782
gpt-4o,sbert_cosine_sim,-4.266096413218692,6,-0.513338763105421
gpt-4o-mini,sbert_cosine_sim,-1.0020114463381473,10,-0.09753290187567476
gpt-3.5-turbo,LLM_eval,-4.377,10,-0.35200000000000004
gpt-3.5-turbo-16k,LLM_eval,-3.8659999999999997,4,-0.22999999999999998
gpt-4,LLM_eval,0.069,5,0.08399999999999996
gpt-4-turbo,LLM_eval,-2.88,10,-0.2719999999999999
gpt-4o,LLM_eval,-6.9110000000000005,6,-0.8240000000000001
gpt-4o-mini,LLM_eval,-3.271,10,-0.09599999999999997
